Rank,Team,2020 average-time-of-possession-net-of-ot
1,Green Bay,32:50
2,New Orleans,31:46
3,Baltimore,31:43
4,LA Chargers,31:39
5,LA Rams,31:39
6,San Francisco,31:23
7,Miami,31:16
8,Indianapolis,31:10
9,Carolina,30:59
10,Pittsburgh,30:55
11,Buffalo,30:54
12,Cincinnati,30:50
13,Atlanta,30:41
14,Las Vegas,30:38
15,Cleveland,30:36
16,Kansas City,30:09
17,Washington,29:50
18,Chicago,29:44
19,Minnesota,29:34
20,Seattle,29:32
21,Tampa Bay,29:06
22,Denver,28:58
23,New England,28:57
24,Philadelphia,28:57
25,Arizona,28:50
26,NY Giants,28:42
27,Dallas,28:21
28,Tennessee,28:12
29,Detroit,27:54
30,NY Jets,27:53
31,Jacksonville,27:48
32,Houston,27:18
