Rank,Team,2020 completion-pct
1,Green Bay,70.16%
2,Houston,70.15%
3,New Orleans,70.13%
4,Buffalo,68.02%
5,Carolina,67.82%
6,Minnesota,67.64%
7,Seattle,67.63%
8,Arizona,67.30%
9,Las Vegas,66.97%
10,Indianapolis,66.56%
11,Kansas City,66.49%
12,LA Rams,66.20%
13,Miami,66.19%
14,LA Chargers,65.87%
15,Pittsburgh,65.61%
16,Chicago,65.47%
17,Tennessee,65.36%
18,San Francisco,65.09%
19,Atlanta,64.97%
20,Dallas,64.63%
21,Washington,64.34%
22,New England,64.32%
23,Tampa Bay,64.27%
24,Detroit,64.26%
25,Cincinnati,64.03%
26,Baltimore,62.96%
27,Jacksonville,62.82%
28,Cleveland,62.76%
29,NY Giants,62.09%
30,NY Jets,58.52%
31,Denver,57.01%
32,Philadelphia,55.85%
