Rank,Team,2020 completions-per-game
1,Pittsburgh,27.9
2,Kansas City,26.4
3,Dallas,25.8
3,LA Chargers,25.8
5,Buffalo,25.6
6,Atlanta,25.5
7,Chicago,24.8
8,Tampa Bay,24.6
9,Washington,24.4
10,Jacksonville,24.2
10,Arizona,24.2
12,Houston,23.9
13,Green Bay,23.8
14,LA Rams,23.6
15,Seattle,23.5
16,Indianapolis,23.4
17,Detroit,23.4
18,Carolina,23.3
19,Cincinnati,23.3
20,New Orleans,23.2
21,San Francisco,23.2
22,Miami,23.1
23,Las Vegas,23.1
24,Minnesota,21.8
25,Philadelphia,20.9
26,NY Giants,20.1
27,Cleveland,19.9
28,Denver,19.8
29,Tennessee,19.6
30,NY Jets,18.3
31,New England,17.7
32,Baltimore,16.3
