Rank,Team,2020 extra-point-attempts-per-game
1,Green Bay,3.7
2,New Orleans,3.5
2,Tampa Bay,3.5
4,Buffalo,3.4
5,Seattle,3.2
6,Kansas City,3.2
7,Tennessee,3.2
8,Cleveland,3.1
9,Baltimore,3.1
10,Las Vegas,2.9
11,Arizona,2.9
12,Pittsburgh,2.8
13,Indianapolis,2.7
14,Minnesota,2.7
15,Detroit,2.6
16,LA Rams,2.6
17,San Francisco,2.5
17,Houston,2.5
19,LA Chargers,2.4
20,Atlanta,2.4
21,Dallas,2.3
21,Miami,2.3
21,Carolina,2.3
24,Chicago,2.2
25,New England,2.1
25,Cincinnati,2.1
27,Washington,2.0
28,Denver,1.9
29,Jacksonville,1.8
30,Philadelphia,1.6
31,NY Jets,1.5
32,NY Giants,1.4
