Rank,Team,2020 extra-points-made-per-game
1,Green Bay,3.5
2,New Orleans,3.4
3,Buffalo,3.3
4,Tampa Bay,3.2
5,Tennessee,3.1
6,Baltimore,3.0
6,Seattle,3.0
8,Kansas City,2.8
9,Cleveland,2.8
10,Las Vegas,2.8
10,Arizona,2.8
12,Indianapolis,2.6
13,Pittsburgh,2.5
14,Detroit,2.4
14,San Francisco,2.4
16,LA Rams,2.3
17,Houston,2.3
17,Minnesota,2.3
19,Miami,2.3
19,LA Chargers,2.3
21,Atlanta,2.1
22,Chicago,2.1
23,Dallas,2.1
23,Carolina,2.1
25,Cincinnati,2.0
26,Washington,1.9
27,New England,1.9
28,Denver,1.6
29,Jacksonville,1.5
29,Philadelphia,1.5
31,NY Giants,1.3
32,NY Jets,1.3
