Rank,Team,2020 field-goals-got-blocked-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Washington,0.0
1,Pittsburgh,0.0
1,New Orleans,0.0
1,Las Vegas,0.0
1,Detroit,0.0
1,Chicago,0.0
1,San Francisco,0.0
1,Miami,0.0
1,Houston,0.0
1,New England,0.0
1,Kansas City,0.0
1,Buffalo,0.0
1,NY Giants,0.0
1,Green Bay,0.0
1,Cincinnati,0.0
1,Baltimore,0.0
1,Seattle,0.0
1,Philadelphia,0.0
1,Minnesota,0.0
1,Indianapolis,0.0
23,Tampa Bay,0.1
24,Cleveland,0.1
24,LA Rams,0.1
26,Jacksonville,0.1
26,Arizona,0.1
26,Carolina,0.1
26,LA Chargers,0.1
30,Tennessee,0.1
31,NY Jets,0.1
31,Denver,0.1
