Rank,Team,2020 fumbles-per-game
1,NY Jets,0.5
2,Indianapolis,0.5
3,Green Bay,0.8
4,Tampa Bay,0.8
5,Detroit,0.8
5,Carolina,0.8
7,Tennessee,0.9
7,Seattle,0.9
9,Atlanta,1.0
9,Jacksonville,1.0
9,LA Chargers,1.0
12,Buffalo,1.1
13,LA Rams,1.1
14,Miami,1.1
15,Kansas City,1.1
16,Chicago,1.2
17,Dallas,1.2
17,New England,1.2
19,San Francisco,1.3
19,NY Giants,1.3
19,Cincinnati,1.3
22,Houston,1.3
23,Cleveland,1.3
24,Pittsburgh,1.4
25,Arizona,1.4
25,Minnesota,1.4
27,Washington,1.4
28,Denver,1.4
29,Las Vegas,1.5
30,New Orleans,1.7
30,Baltimore,1.7
32,Philadelphia,1.9
