Rank,Team,2020 gross-yards-per-successful-punt
1,Seattle,50.3
2,Buffalo,49.3
3,Detroit,49.1
4,New England,48.7
5,Washington,47.7
6,Cincinnati,47.2
7,Jacksonville,46.9
8,San Francisco,46.9
9,LA Chargers,46.8
10,Denver,46.8
11,Philadelphia,46.5
12,Carolina,46.3
13,Houston,46.0
14,Tennessee,46.0
15,LA Rams,45.8
16,Indianapolis,45.8
17,Green Bay,45.4
18,Chicago,45.1
19,Minnesota,45.1
20,Dallas,45.0
21,Pittsburgh,44.9
22,Arizona,44.8
23,NY Giants,44.8
24,Miami,44.7
25,Baltimore,44.6
26,Tampa Bay,44.5
27,Kansas City,44.5
28,Las Vegas,44.1
29,NY Jets,43.9
30,Cleveland,43.7
31,New Orleans,42.9
32,Atlanta,42.5
