Rank,Team,2020 interceptions-per-game
1,Miami,1.1
1,New England,1.1
3,Tampa Bay,1.1
4,Pittsburgh,1.1
5,New Orleans,1.0
6,Kansas City,0.9
7,Washington,0.9
7,Tennessee,0.9
9,Minnesota,0.9
10,Cleveland,0.9
11,Indianapolis,0.9
12,Buffalo,0.8
13,LA Rams,0.8
14,Seattle,0.8
15,Green Bay,0.8
16,Atlanta,0.8
16,Jacksonville,0.8
16,San Francisco,0.8
16,LA Chargers,0.8
20,Arizona,0.7
20,NY Giants,0.7
20,Cincinnati,0.7
23,Dallas,0.6
23,Las Vegas,0.6
23,NY Jets,0.6
23,Denver,0.6
27,Baltimore,0.6
28,Chicago,0.6
29,Philadelphia,0.5
30,Detroit,0.4
30,Carolina,0.4
32,Houston,0.2
