Rank,Team,2020 kickoff-touchback-pct
1,Carolina,87.65%
2,Tampa Bay,82.68%
3,Washington,80.72%
4,New Orleans,75.00%
5,Kansas City,73.68%
5,Cincinnati,73.68%
7,Miami,69.57%
8,Denver,68.35%
9,Buffalo,67.80%
10,Baltimore,67.65%
11,Dallas,65.22%
11,LA Rams,65.22%
13,Las Vegas,64.21%
14,Minnesota,62.35%
15,Philadelphia,61.33%
16,Houston,59.77%
17,LA Chargers,58.33%
18,Jacksonville,57.53%
19,Tennessee,57.14%
20,New England,56.00%
21,Seattle,55.10%
22,San Francisco,54.32%
23,NY Jets,53.97%
24,Cleveland,53.61%
25,Atlanta,50.00%
25,Pittsburgh,50.00%
25,Chicago,50.00%
25,Green Bay,50.00%
29,Indianapolis,46.08%
30,Arizona,44.83%
31,NY Giants,40.54%
32,Detroit,33.33%
