Rank,Team,2020 net-yards-per-successful-punt
1,New England,45.6
2,Seattle,45.0
3,Detroit,44.8
4,Washington,43.8
5,Buffalo,43.3
6,Cincinnati,42.8
7,Jacksonville,42.4
8,San Francisco,42.3
9,Baltimore,42.2
10,Denver,42.1
11,Houston,41.5
12,New Orleans,41.4
13,Tennessee,41.4
14,Dallas,41.2
15,Philadelphia,41.1
16,Carolina,40.8
17,Indianapolis,40.2
18,LA Rams,40.2
19,Las Vegas,40.1
20,Kansas City,39.8
21,Miami,39.8
22,Arizona,39.6
23,Tampa Bay,39.5
24,NY Giants,39.4
25,Pittsburgh,39.3
26,Chicago,39.3
27,Atlanta,39.3
28,Cleveland,38.3
29,Green Bay,38.3
30,Minnesota,38.0
31,NY Jets,37.2
32,LA Chargers,35.9
