Rank,Team,2020 offensive-point-share-pct
1,Las Vegas,100.0%
2,Minnesota,99.5%
3,Arizona,99.5%
4,Seattle,98.8%
5,Tampa Bay,98.6%
6,New Orleans,98.3%
7,Atlanta,98.3%
8,Houston,98.2%
9,San Francisco,98.2%
10,Denver,97.9%
11,Cincinnati,97.8%
12,Detroit,97.6%
13,Green Bay,97.2%
14,NY Jets,96.4%
15,LA Chargers,95.9%
16,Tennessee,95.9%
17,Chicago,95.8%
18,NY Giants,95.0%
19,Pittsburgh,95.0%
20,Miami,94.8%
21,Cleveland,94.7%
22,Dallas,94.7%
23,Kansas City,94.5%
24,Carolina,94.1%
25,Buffalo,93.9%
26,Washington,93.7%
27,Baltimore,93.5%
28,Jacksonville,93.3%
29,New England,91.5%
30,LA Rams,91.2%
31,Philadelphia,91.1%
32,Indianapolis,89.9%
