Rank,Team,2020 offensive-points-per-game
1,Green Bay,30.9
2,Tampa Bay,30.8
3,New Orleans,28.7
4,Tennessee,28.6
5,Buffalo,28.4
6,Seattle,28.1
7,Las Vegas,27.2
8,Kansas City,27.2
9,Minnesota,26.9
10,Arizona,25.8
11,Pittsburgh,25.6
12,Baltimore,25.4
13,Indianapolis,25.2
14,Cleveland,25.1
15,Atlanta,24.6
16,Houston,23.9
17,Miami,23.8
18,Dallas,23.4
19,San Francisco,23.4
20,LA Chargers,23.3
21,Detroit,23.2
22,Chicago,21.5
23,LA Rams,21.4
24,Carolina,20.8
25,Washington,20.2
26,Denver,20.1
27,Philadelphia,19.3
28,Cincinnati,19.1
29,New England,18.9
30,Jacksonville,18.3
31,NY Giants,16.8
32,NY Jets,14.9
