Rank,Team,2020 opp-2nd-quarter-points-per-game
1,Baltimore,4.8
2,Atlanta,6.3
3,Green Bay,6.3
4,Seattle,6.3
5,Buffalo,6.7
6,Chicago,6.8
7,Cleveland,6.8
8,San Francisco,6.9
8,LA Chargers,6.9
10,Kansas City,7.1
11,New Orleans,7.1
12,NY Giants,7.1
13,Pittsburgh,7.2
14,New England,7.2
15,Tampa Bay,7.2
16,Carolina,7.3
17,Miami,7.4
18,Philadelphia,7.4
19,Cincinnati,7.6
20,Arizona,8.0
21,LA Rams,8.3
22,Indianapolis,8.5
23,Las Vegas,8.5
24,Minnesota,8.6
25,NY Jets,8.8
26,Tennessee,9.0
27,Denver,9.4
28,Washington,9.5
29,Dallas,9.6
30,Houston,9.7
31,Detroit,10.1
32,Jacksonville,10.3
