Rank,Team,2020 opp-3rd-quarter-points-per-game
1,Washington,1.8
2,Kansas City,2.5
3,LA Rams,3.1
4,Indianapolis,3.3
5,Baltimore,3.5
6,NY Giants,3.6
7,Seattle,3.8
8,Pittsburgh,3.9
9,New Orleans,4.2
10,Las Vegas,4.2
11,Dallas,4.3
12,Arizona,4.4
13,Miami,4.6
13,Houston,4.6
15,Denver,4.9
16,Carolina,5.0
17,San Francisco,5.2
18,New England,5.4
19,Green Bay,5.4
20,Tampa Bay,5.5
21,Buffalo,5.8
22,Chicago,5.9
23,Atlanta,6.0
24,Cleveland,6.1
25,Philadelphia,6.1
26,Tennessee,6.1
27,Detroit,6.1
27,Cincinnati,6.1
29,LA Chargers,6.4
30,NY Jets,6.4
31,Jacksonville,7.8
32,Minnesota,8.0
