Rank,Team,2020 opp-4th-quarter-points-per-game
1,Tampa Bay,3.6
2,LA Rams,4.1
3,Washington,4.4
4,New England,5.2
5,Pittsburgh,5.3
6,Chicago,5.6
7,Indianapolis,5.6
8,Miami,5.7
9,New Orleans,5.8
10,Jacksonville,6.0
11,Arizona,6.1
12,Baltimore,6.4
13,Green Bay,6.9
14,NY Jets,7.1
15,NY Giants,7.1
15,Philadelphia,7.1
17,Tennessee,7.4
18,Carolina,7.5
18,LA Chargers,7.5
20,Buffalo,7.8
21,Houston,7.9
22,San Francisco,8.0
23,Cincinnati,8.1
24,Dallas,8.1
25,Minnesota,8.5
26,Kansas City,8.6
27,Denver,8.9
28,Cleveland,9.0
29,Seattle,9.2
30,Atlanta,9.4
31,Detroit,9.4
32,Las Vegas,11.0
