Rank,Team,2020 opponent-average-team-passer-rating
1,Pittsburgh,79.0
2,LA Rams,81.7
3,Washington,83.0
4,New Orleans,84.5
5,Baltimore,86.9
6,Miami,87.0
7,Buffalo,88.2
8,San Francisco,88.6
9,New England,89.3
10,Kansas City,89.5
11,Tampa Bay,89.5
12,Seattle,90.0
13,Green Bay,90.8
14,LA Chargers,91.4
15,Arizona,91.5
16,Denver,92.1
17,Indianapolis,92.3
18,NY Giants,93.2
19,Cleveland,93.9
20,Las Vegas,95.3
21,Chicago,95.7
22,Cincinnati,96.1
23,Tennessee,96.7
24,Minnesota,97.0
25,Carolina,98.4
26,Dallas,100.4
27,Atlanta,101.7
28,Philadelphia,102.4
29,NY Jets,103.2
30,Jacksonville,105.6
31,Houston,109.6
32,Detroit,112.4
