Rank,Team,2020 opponent-completion-pct
1,Pittsburgh,56.96%
2,New Orleans,59.77%
3,Washington,61.86%
4,LA Rams,62.36%
5,LA Chargers,62.62%
6,Kansas City,62.74%
7,Cincinnati,62.85%
8,Miami,62.94%
9,San Francisco,63.50%
10,Las Vegas,63.79%
11,Baltimore,63.88%
12,Dallas,63.94%
13,Arizona,64.04%
14,Buffalo,64.12%
15,Cleveland,64.40%
16,Chicago,64.51%
17,Green Bay,64.61%
18,Denver,65.96%
19,Seattle,66.09%
20,Indianapolis,66.16%
21,Minnesota,66.17%
22,Tampa Bay,66.96%
23,Tennessee,67.28%
24,New England,67.41%
25,NY Giants,67.60%
26,Atlanta,68.00%
27,Carolina,68.03%
28,Philadelphia,68.68%
29,Detroit,68.76%
30,NY Jets,69.09%
31,Jacksonville,69.42%
32,Houston,69.69%
