Rank,Team,2020 opponent-defensive-points-per-game
1,Atlanta,0.0
1,New Orleans,0.0
1,Buffalo,0.0
1,Carolina,0.0
5,Tennessee,0.1
6,LA Chargers,0.1
7,Kansas City,0.2
8,Jacksonville,0.3
9,Green Bay,0.4
10,Cleveland,0.5
11,Miami,0.6
11,NY Giants,0.6
13,Houston,0.7
13,Philadelphia,0.7
15,Tampa Bay,0.7
16,Washington,0.8
16,Pittsburgh,0.8
16,Chicago,0.8
16,Seattle,0.8
20,New England,0.9
20,Cincinnati,0.9
22,Indianapolis,0.9
23,LA Rams,1.2
23,Baltimore,1.2
25,Las Vegas,1.3
25,Detroit,1.3
27,NY Jets,1.4
28,Arizona,1.6
28,Denver,1.6
28,Minnesota,1.6
31,Dallas,1.7
32,San Francisco,1.8
