Rank,Team,2020 opponent-field-goals-made-per-game
1,Detroit,1.0
2,Baltimore,1.1
3,Miami,1.1
4,Indianapolis,1.2
5,Kansas City,1.3
6,Pittsburgh,1.3
7,Tennessee,1.4
8,Buffalo,1.4
9,New England,1.4
10,New Orleans,1.4
10,LA Rams,1.4
10,Green Bay,1.4
13,Tampa Bay,1.5
14,Dallas,1.5
14,Atlanta,1.5
14,Cleveland,1.5
17,Houston,1.6
17,Arizona,1.6
19,Washington,1.6
20,Philadelphia,1.7
21,Chicago,1.7
22,LA Chargers,1.8
23,NY Jets,1.8
23,Carolina,1.8
25,Seattle,1.9
26,Jacksonville,1.9
27,Las Vegas,2.0
27,NY Giants,2.0
29,San Francisco,2.1
29,Cincinnati,2.1
31,Minnesota,2.2
32,Denver,2.4
