Rank,Team,2020 opponent-fourth-downs-per-game
1,Carolina,0.6
2,NY Jets,0.8
3,Indianapolis,0.8
4,Denver,0.9
5,LA Chargers,0.9
6,New England,1.0
6,Cincinnati,1.0
8,Las Vegas,1.1
9,Detroit,1.1
9,Jacksonville,1.1
9,NY Giants,1.1
9,Philadelphia,1.1
13,Pittsburgh,1.2
14,San Francisco,1.3
15,LA Rams,1.3
16,Dallas,1.3
16,Houston,1.3
16,Arizona,1.3
19,Chicago,1.4
20,Kansas City,1.4
20,Buffalo,1.4
22,Washington,1.4
23,Atlanta,1.4
24,Green Bay,1.4
25,Tampa Bay,1.5
26,Seattle,1.5
27,Minnesota,1.5
28,Tennessee,1.5
29,Miami,1.6
30,New Orleans,1.8
30,Cleveland,1.8
32,Baltimore,2.0
