Rank,Team,2020 opponent-fumbles-lost-per-game
1,Carolina,0.9
2,Dallas,0.8
3,Miami,0.7
3,NY Giants,0.7
3,Philadelphia,0.7
6,Baltimore,0.7
7,Buffalo,0.6
8,Arizona,0.6
9,Cleveland,0.6
10,Tampa Bay,0.6
11,Indianapolis,0.6
12,Atlanta,0.6
12,NY Jets,0.6
14,Pittsburgh,0.5
14,Chicago,0.5
16,San Francisco,0.5
16,LA Rams,0.5
18,Washington,0.5
18,Tennessee,0.5
18,Seattle,0.5
21,New Orleans,0.4
22,LA Chargers,0.4
22,Minnesota,0.4
24,Green Bay,0.4
25,Houston,0.4
25,Denver,0.4
25,Cincinnati,0.4
28,Kansas City,0.4
29,Las Vegas,0.3
29,Detroit,0.3
29,Jacksonville,0.3
32,New England,0.3
