Rank,Team,2020 opponent-fumbles-per-game
1,Baltimore,1.9
2,NY Giants,1.6
3,Buffalo,1.5
4,San Francisco,1.4
4,NY Jets,1.4
4,Carolina,1.4
7,Washington,1.4
8,Cleveland,1.3
9,Dallas,1.3
9,Atlanta,1.3
9,Philadelphia,1.3
12,Miami,1.3
13,Tennessee,1.2
14,Tampa Bay,1.2
15,Arizona,1.2
16,Indianapolis,1.2
17,Detroit,1.1
17,Jacksonville,1.1
17,Minnesota,1.1
20,Pittsburgh,1.1
20,Chicago,1.1
20,Seattle,1.1
23,New Orleans,1.0
23,Denver,1.0
23,LA Rams,1.0
26,Kansas City,0.9
27,LA Chargers,0.9
28,Cincinnati,0.9
29,Green Bay,0.8
30,Houston,0.7
30,New England,0.7
32,Las Vegas,0.6
