Rank,Team,2020 opponent-net-punt-yards-per-game
1,Jacksonville,109.1
2,Minnesota,111.3
3,Detroit,113.1
4,Las Vegas,115.4
5,Tennessee,116.0
6,Cleveland,116.3
7,New England,123.3
8,Houston,127.9
9,NY Jets,129.1
10,Carolina,129.8
11,Dallas,131.0
12,NY Giants,138.8
13,Atlanta,141.0
14,Buffalo,145.2
15,Green Bay,145.4
16,Kansas City,149.9
17,Seattle,150.9
18,Cincinnati,152.8
19,Denver,153.9
20,Indianapolis,156.1
21,Chicago,156.6
22,Baltimore,157.2
23,Miami,158.9
24,LA Chargers,160.8
25,Tampa Bay,161.3
26,New Orleans,166.1
27,Arizona,168.1
28,Philadelphia,186.3
29,San Francisco,188.9
30,Washington,194.2
31,Pittsburgh,206.3
32,LA Rams,231.4
