Rank,Team,2020 opponent-net-yards-per-successful-punt
1,Jacksonville,36.4
2,New England,37.9
3,Las Vegas,38.5
4,Detroit,38.5
5,Dallas,38.8
6,New Orleans,38.8
7,Denver,39.1
8,Miami,39.1
9,Buffalo,39.4
10,Cleveland,39.5
11,Indianapolis,39.6
12,NY Jets,39.7
13,Chicago,40.3
14,NY Giants,40.4
15,Baltimore,40.4
16,Carolina,40.7
17,Pittsburgh,40.8
18,Houston,40.9
19,Tampa Bay,41.3
20,Arizona,41.4
21,Seattle,41.4
22,Cincinnati,41.4
23,Atlanta,41.8
24,Tennessee,42.0
25,Philadelphia,42.0
26,LA Chargers,42.2
27,Green Bay,42.2
28,Minnesota,42.4
29,Kansas City,43.2
30,Washington,43.4
31,San Francisco,43.8
32,LA Rams,44.3
