Rank,Team,2020 opponent-other-touchdowns-per-game
1,Atlanta,0.0
1,New Orleans,0.0
1,Jacksonville,0.0
1,Buffalo,0.0
5,Kansas City,0.1
6,Tennessee,0.1
7,Houston,0.1
7,Carolina,0.1
7,Philadelphia,0.1
10,Cleveland,0.1
11,Washington,0.1
11,Pittsburgh,0.1
11,Chicago,0.1
11,Seattle,0.1
15,New England,0.1
15,NY Giants,0.1
15,Cincinnati,0.1
18,Tampa Bay,0.2
19,Green Bay,0.2
19,Baltimore,0.2
21,Indianapolis,0.2
22,Dallas,0.2
22,Las Vegas,0.2
22,Detroit,0.2
22,NY Jets,0.2
22,Miami,0.2
22,Arizona,0.2
22,LA Chargers,0.2
29,LA Rams,0.2
30,Denver,0.3
30,Minnesota,0.3
32,San Francisco,0.3
