Rank,Team,2020 opponent-passing-first-down-pct
1,Dallas,50.14%
2,Jacksonville,53.30%
3,New England,55.16%
4,Cincinnati,55.98%
5,Green Bay,56.25%
6,Kansas City,56.37%
7,San Francisco,56.59%
8,Buffalo,56.81%
9,Washington,56.83%
10,Minnesota,56.83%
11,Houston,56.92%
12,Chicago,56.98%
13,Arizona,57.02%
14,LA Chargers,57.41%
15,Miami,57.44%
16,Pittsburgh,58.14%
17,Las Vegas,58.53%
18,Carolina,58.61%
19,New Orleans,58.69%
20,LA Rams,59.56%
21,Denver,60.36%
22,NY Giants,60.91%
23,Detroit,60.96%
24,Philadelphia,61.47%
25,NY Jets,61.68%
26,Tennessee,61.74%
27,Indianapolis,62.39%
28,Baltimore,62.77%
29,Cleveland,63.17%
30,Atlanta,65.12%
31,Tampa Bay,65.85%
32,Seattle,66.33%
