Rank,Team,2020 opponent-passing-touchdowns-per-game
1,LA Rams,1.2
2,Miami,1.3
2,Denver,1.3
4,Baltimore,1.3
5,Washington,1.4
6,New England,1.4
6,NY Giants,1.4
8,Seattle,1.4
9,Pittsburgh,1.5
10,Buffalo,1.5
11,Green Bay,1.5
12,Indianapolis,1.5
13,San Francisco,1.6
14,Arizona,1.6
15,Philadelphia,1.7
16,New Orleans,1.7
17,Las Vegas,1.8
17,Tampa Bay,1.8
17,Carolina,1.8
20,Chicago,1.8
21,LA Chargers,1.8
22,Kansas City,1.8
23,Houston,1.9
23,Minnesota,1.9
25,Cleveland,2.0
25,Cincinnati,2.0
27,Tennessee,2.1
28,Dallas,2.1
28,Atlanta,2.1
28,Jacksonville,2.1
28,NY Jets,2.1
32,Detroit,2.4
