Rank,Team,2020 opponent-penalty-yards-per-game
1,Philadelphia,64.8
2,Tampa Bay,61.2
3,Denver,59.5
4,Pittsburgh,58.8
5,Las Vegas,57.2
6,NY Jets,56.2
7,LA Chargers,54.3
8,Tennessee,52.9
9,Arizona,52.6
10,Chicago,51.8
11,Miami,50.3
12,Atlanta,50.0
13,Detroit,49.8
14,Cincinnati,49.7
15,Seattle,48.1
16,Dallas,45.8
17,Kansas City,45.4
18,Minnesota,45.2
19,Indianapolis,44.8
20,Carolina,44.6
21,Jacksonville,44.4
22,San Francisco,44.3
23,Buffalo,43.6
24,Green Bay,43.2
25,Washington,43.1
26,Cleveland,42.8
27,NY Giants,42.6
28,Houston,42.4
29,New England,39.9
30,Baltimore,37.1
31,LA Rams,36.9
32,New Orleans,34.9
