Rank,Team,2020 opponent-penalty-yards-per-penalty
1,Tampa Bay,10.5
2,Las Vegas,9.6
3,Miami,9.5
4,Pittsburgh,9.4
5,Green Bay,9.3
5,Philadelphia,9.3
7,LA Chargers,9.2
8,Jacksonville,9.1
9,NY Jets,9.1
10,Denver,9.0
11,San Francisco,9.0
12,Houston,8.9
13,Chicago,8.9
14,Atlanta,8.8
15,Minnesota,8.7
16,Indianapolis,8.7
17,Seattle,8.5
18,Carolina,8.4
19,Buffalo,8.4
20,Tennessee,8.3
21,Washington,8.3
22,Baltimore,8.2
23,Cleveland,8.1
24,Arizona,8.1
25,Dallas,8.1
26,Cincinnati,8.0
27,Kansas City,8.0
28,New Orleans,7.9
29,New England,7.8
30,NY Giants,7.7
31,Detroit,7.7
32,LA Rams,7.4
