Rank,Team,2020 opponent-points-per-game
1,Baltimore,18.5
2,LA Rams,19.3
3,New Orleans,20.9
4,Miami,21.1
5,Washington,21.2
5,Pittsburgh,21.2
7,Tampa Bay,21.7
8,New England,22.1
9,NY Giants,22.3
10,Kansas City,22.8
11,Indianapolis,22.9
12,Arizona,22.9
13,Chicago,23.0
14,Buffalo,23.2
15,Green Bay,23.2
16,Seattle,23.6
17,San Francisco,24.4
18,Carolina,25.1
19,Atlanta,25.9
20,Philadelphia,26.1
21,Cincinnati,26.5
22,Cleveland,26.6
23,LA Chargers,26.6
24,Tennessee,27.0
25,Denver,27.9
26,NY Jets,28.6
27,Houston,29.0
28,Dallas,29.6
29,Minnesota,29.7
30,Las Vegas,29.9
31,Jacksonville,30.8
32,Detroit,32.4
