Rank,Team,2020 opponent-punts-per-play
1,LA Rams,0.08
2,Pittsburgh,0.08
3,Washington,0.07
4,New Orleans,0.07
5,San Francisco,0.07
6,Philadelphia,0.07
7,Miami,0.07
8,Indianapolis,0.06
9,Arizona,0.06
10,Baltimore,0.06
11,Tampa Bay,0.06
12,LA Chargers,0.06
13,Denver,0.06
14,Chicago,0.06
15,Cincinnati,0.06
16,Green Bay,0.06
17,Buffalo,0.06
18,Kansas City,0.05
19,Seattle,0.05
20,New England,0.05
21,NY Giants,0.05
22,Atlanta,0.05
23,Dallas,0.05
24,NY Jets,0.05
25,Carolina,0.05
26,Houston,0.05
27,Detroit,0.05
28,Las Vegas,0.05
29,Jacksonville,0.05
30,Cleveland,0.04
31,Tennessee,0.04
32,Minnesota,0.04
