Rank,Team,2020 opponent-rushing-attempts-per-game
1,Tampa Bay,22.0
2,Baltimore,23.3
3,Atlanta,23.8
4,Indianapolis,24.2
5,Green Bay,24.4
6,New Orleans,24.7
7,LA Rams,24.9
8,Cleveland,25.1
9,Carolina,25.5
10,Seattle,25.6
11,Miami,25.8
12,Pittsburgh,26.2
13,Buffalo,26.4
14,Kansas City,26.6
15,LA Chargers,26.7
16,San Francisco,26.9
17,Washington,26.9
18,NY Giants,27.0
19,Denver,27.1
20,Tennessee,27.2
21,Arizona,27.3
22,Las Vegas,27.4
23,NY Jets,27.8
24,Chicago,27.8
25,Cincinnati,28.9
26,New England,29.0
27,Minnesota,29.5
28,Philadelphia,30.1
29,Detroit,30.4
30,Houston,30.8
31,Dallas,31.9
32,Jacksonville,32.3
