Rank,Team,2020 opponent-rushing-first-down-pct
1,Tampa Bay,25.31%
2,Baltimore,26.06%
3,NY Jets,26.25%
4,Atlanta,26.43%
5,Seattle,27.04%
6,New Orleans,27.07%
7,Indianapolis,28.21%
8,Philadelphia,28.82%
9,Las Vegas,29.92%
10,Tennessee,30.51%
11,Detroit,30.60%
12,Cleveland,31.22%
13,Chicago,31.28%
14,Carolina,31.67%
15,Denver,31.83%
16,Kansas City,32.08%
17,Arizona,32.51%
18,NY Giants,32.58%
19,San Francisco,32.80%
20,Miami,33.63%
21,Pittsburgh,33.89%
22,Washington,33.97%
23,LA Rams,34.17%
24,LA Chargers,34.57%
25,Green Bay,35.05%
26,Jacksonville,35.53%
27,Buffalo,36.15%
28,Cincinnati,36.73%
29,Minnesota,37.16%
30,Houston,37.18%
31,New England,38.64%
32,Dallas,39.55%
