Rank,Team,2020 opponent-rushing-touchdown-pct
1,Tampa Bay,24.00%
2,Chicago,27.27%
3,Cincinnati,27.66%
4,New Orleans,27.91%
5,San Francisco,28.57%
6,Baltimore,30.00%
7,NY Jets,30.19%
8,Atlanta,30.61%
9,Kansas City,30.77%
10,Arizona,30.95%
11,Cleveland,31.58%
12,LA Chargers,34.69%
13,Dallas,35.09%
13,Tennessee,35.09%
15,Pittsburgh,35.71%
16,Minnesota,35.85%
17,LA Rams,35.90%
18,NY Giants,36.84%
19,Carolina,36.96%
19,Indianapolis,36.96%
21,Washington,37.50%
21,Green Bay,37.50%
23,Detroit,39.71%
24,Jacksonville,40.35%
25,Miami,41.46%
25,New England,41.46%
27,Philadelphia,41.67%
28,Seattle,42.22%
29,Las Vegas,43.64%
29,Houston,43.64%
31,Buffalo,46.15%
32,Denver,46.81%
