Rank,Team,2020 opponent-safeties-per-game
1,Dallas,0.2
2,Jacksonville,0.1
2,Houston,0.1
2,Arizona,0.1
2,Denver,0.1
2,Philadelphia,0.1
2,Minnesota,0.1
8,Kansas City,0.1
9,NY Jets,0.1
9,Miami,0.1
9,LA Chargers,0.1
9,NY Giants,0.1
13,Tennessee,0.1
13,Indianapolis,0.1
15,Cleveland,0.1
16,Atlanta,0.0
16,Washington,0.0
16,Pittsburgh,0.0
16,New Orleans,0.0
16,Las Vegas,0.0
16,Detroit,0.0
16,Chicago,0.0
16,San Francisco,0.0
16,Tampa Bay,0.0
16,New England,0.0
16,Buffalo,0.0
16,Carolina,0.0
16,LA Rams,0.0
16,Green Bay,0.0
16,Cincinnati,0.0
16,Baltimore,0.0
16,Seattle,0.0
