Rank,Team,2020 opponent-touchbacks-per-game
1,Indianapolis,2.2
2,Chicago,2.3
3,Buffalo,2.4
4,LA Rams,2.4
5,Pittsburgh,2.5
6,Green Bay,2.7
6,Baltimore,2.7
8,NY Giants,2.8
9,New England,2.9
10,LA Chargers,2.9
11,New Orleans,2.9
11,Cleveland,2.9
13,Tampa Bay,3.1
14,Washington,3.1
15,Tennessee,3.2
16,Kansas City,3.2
17,NY Jets,3.3
17,Houston,3.3
19,Seattle,3.4
20,Arizona,3.4
21,Carolina,3.5
22,Dallas,3.6
22,Philadelphia,3.6
24,Atlanta,3.7
25,Miami,3.8
26,San Francisco,3.8
27,Cincinnati,3.9
28,Detroit,4.1
29,Jacksonville,4.4
30,Minnesota,4.4
31,Denver,4.6
32,Las Vegas,4.8
