Rank,Team,2020 opponent-touchdowns-per-game
1,LA Rams,2.2
2,Baltimore,2.2
3,Washington,2.4
4,NY Giants,2.4
5,New Orleans,2.4
6,Pittsburgh,2.5
7,Tampa Bay,2.5
8,Miami,2.6
8,New England,2.6
10,Chicago,2.6
11,San Francisco,2.6
11,Arizona,2.6
13,Seattle,2.6
14,Green Bay,2.7
15,Indianapolis,2.7
16,Kansas City,2.7
16,Buffalo,2.7
18,Carolina,2.9
19,Denver,2.9
19,Cincinnati,2.9
21,Philadelphia,3.0
22,Atlanta,3.1
22,LA Chargers,3.1
24,Cleveland,3.2
25,NY Jets,3.3
25,Minnesota,3.3
27,Tennessee,3.4
28,Las Vegas,3.4
28,Houston,3.4
30,Dallas,3.6
30,Jacksonville,3.6
32,Detroit,4.3
