Rank,Team,2020 opponent-two-point-conversion-pct
1,Washington,0.00%
1,Chicago,0.00%
1,NY Jets,0.00%
1,Arizona,0.00%
1,LA Rams,0.00%
1,Cincinnati,0.00%
7,Tennessee,12.50%
8,NY Giants,14.29%
9,Tampa Bay,20.00%
9,Kansas City,20.00%
11,Denver,33.33%
11,Carolina,33.33%
11,Seattle,33.33%
14,Minnesota,42.86%
15,Dallas,50.00%
15,Atlanta,50.00%
15,New Orleans,50.00%
15,Jacksonville,50.00%
15,San Francisco,50.00%
15,Cleveland,50.00%
15,Baltimore,50.00%
22,LA Chargers,60.00%
23,Pittsburgh,66.67%
23,Las Vegas,66.67%
23,Buffalo,66.67%
26,Houston,75.00%
27,Detroit,83.33%
28,New England,100.00%
28,Green Bay,100.00%
28,Indianapolis,100.00%
1,Miami,--
1,Philadelphia,--
