Rank,Team,2020 opponent-yards-per-pass-attempt
1,LA Rams,5.7
2,Baltimore,5.9
3,Pittsburgh,6.0
4,Washington,6.0
5,San Francisco,6.2
6,New Orleans,6.2
7,Tampa Bay,6.3
8,Arizona,6.4
9,Carolina,6.5
10,Buffalo,6.6
11,Kansas City,6.6
12,LA Chargers,6.6
13,Green Bay,6.6
14,NY Giants,6.6
15,Denver,6.7
16,Seattle,6.8
17,Chicago,6.8
18,Cleveland,6.9
19,Indianapolis,7.0
20,Tennessee,7.0
21,Dallas,7.1
22,Cincinnati,7.1
23,Philadelphia,7.2
24,New England,7.2
25,Las Vegas,7.3
26,NY Jets,7.3
27,Miami,7.4
28,Atlanta,7.5
29,Houston,7.6
30,Minnesota,7.7
31,Jacksonville,7.9
32,Detroit,8.2
