Rank,Team,2020 opponent-yards-per-rush-attempt
1,Indianapolis,3.8
2,Tampa Bay,3.8
3,New Orleans,3.8
4,Seattle,3.9
5,San Francisco,4.0
6,LA Rams,4.0
7,NY Jets,4.0
8,Chicago,4.1
9,NY Giants,4.1
10,Philadelphia,4.2
11,Washington,4.3
12,Pittsburgh,4.3
13,Cleveland,4.3
14,Baltimore,4.3
15,Atlanta,4.4
16,Detroit,4.4
17,LA Chargers,4.5
18,Green Bay,4.5
19,Miami,4.5
20,New England,4.5
21,Minnesota,4.6
22,Las Vegas,4.6
23,Arizona,4.6
24,Kansas City,4.6
25,Buffalo,4.7
26,Tennessee,4.7
27,Jacksonville,4.7
28,Carolina,4.7
29,Denver,4.8
30,Dallas,5.0
31,Cincinnati,5.1
32,Houston,5.2
