Rank,Team,2020 other-touchdowns-per-game
1,Indianapolis,0.4
2,LA Rams,0.3
3,Buffalo,0.3
4,New England,0.3
5,Baltimore,0.2
6,Kansas City,0.2
7,Dallas,0.2
7,Jacksonville,0.2
7,Miami,0.2
7,Carolina,0.2
7,Philadelphia,0.2
12,Washington,0.2
12,Pittsburgh,0.2
14,Cleveland,0.2
15,LA Chargers,0.1
15,NY Giants,0.1
17,Chicago,0.1
17,Tennessee,0.1
19,Green Bay,0.1
20,Atlanta,0.1
20,Detroit,0.1
20,San Francisco,0.1
20,NY Jets,0.1
20,Houston,0.1
20,Denver,0.1
20,Cincinnati,0.1
27,New Orleans,0.1
28,Tampa Bay,0.1
29,Las Vegas,0.0
29,Arizona,0.0
29,Seattle,0.0
29,Minnesota,0.0
