Rank,Team,2020 passing-touchdowns-per-game
1,Green Bay,2.9
2,Tampa Bay,2.6
3,Seattle,2.5
4,Buffalo,2.4
5,Kansas City,2.3
6,Pittsburgh,2.3
7,Minnesota,2.2
8,Houston,2.1
9,Tennessee,2.0
10,LA Chargers,1.9
11,New Orleans,1.8
12,Las Vegas,1.8
13,Cleveland,1.7
14,Atlanta,1.7
14,Detroit,1.7
14,Arizona,1.7
17,Chicago,1.6
18,Dallas,1.6
18,Jacksonville,1.6
18,San Francisco,1.6
21,Indianapolis,1.5
22,Miami,1.5
22,Baltimore,1.5
24,Philadelphia,1.4
25,Denver,1.3
26,LA Rams,1.2
27,Cincinnati,1.2
28,Washington,1.0
28,NY Jets,1.0
28,Carolina,1.0
31,New England,0.8
31,NY Giants,0.8
