Rank,Team,2020 passing-yards-pct
1,Pittsburgh,76.25%
2,Houston,75.58%
3,Atlanta,74.01%
4,Tampa Bay,73.77%
5,Detroit,73.25%
6,Buffalo,72.96%
7,Kansas City,72.80%
8,Jacksonville,70.89%
9,LA Chargers,70.82%
10,Dallas,69.94%
11,Carolina,69.53%
12,Chicago,69.41%
13,Miami,68.88%
14,Washington,68.87%
15,Las Vegas,68.76%
16,San Francisco,68.10%
17,Cincinnati,67.40%
18,Indianapolis,66.89%
19,Green Bay,66.53%
20,Seattle,65.96%
21,LA Rams,65.53%
22,Denver,64.28%
23,Minnesota,63.72%
24,Arizona,63.64%
25,NY Giants,63.12%
26,New Orleans,62.82%
27,NY Jets,62.42%
28,Philadelphia,62.14%
29,Cleveland,60.48%
30,Tennessee,58.17%
31,New England,55.19%
32,Baltimore,47.23%
