Rank,Team,2020 penalty-first-downs-per-game
1,Baltimore,1.2
2,LA Rams,1.3
3,Houston,1.3
4,Chicago,1.4
5,Dallas,1.6
5,Jacksonville,1.6
5,Cincinnati,1.6
8,Cleveland,1.6
9,Green Bay,1.7
10,Seattle,1.7
11,New Orleans,1.7
12,NY Giants,1.8
13,NY Jets,1.8
14,Washington,1.8
15,Las Vegas,2.0
15,San Francisco,2.0
15,New England,2.0
15,Kansas City,2.0
15,Minnesota,2.0
15,Indianapolis,2.0
21,Pittsburgh,2.1
22,Carolina,2.1
23,Arizona,2.1
24,Tennessee,2.2
25,LA Chargers,2.3
26,Atlanta,2.3
26,Detroit,2.3
28,Buffalo,2.3
29,Miami,2.4
29,Denver,2.4
31,Tampa Bay,2.7
32,Philadelphia,2.8
