Rank,Team,2020 penalty-yards-per-game
1,New England,33.4
2,Houston,38.7
3,LA Rams,39.2
4,NY Giants,39.6
5,Miami,39.7
6,Minnesota,40.6
7,Green Bay,40.9
8,Denver,41.9
9,Pittsburgh,42.1
10,Cincinnati,42.2
11,Tampa Bay,42.4
12,Washington,42.5
12,Seattle,42.5
14,LA Chargers,44.4
15,San Francisco,45.7
16,Atlanta,46.0
17,Tennessee,46.6
18,Carolina,47.0
19,Chicago,48.6
20,Cleveland,50.8
21,Buffalo,52.5
22,Dallas,53.1
23,Philadelphia,53.3
24,Indianapolis,53.5
25,Las Vegas,53.5
26,Detroit,53.8
27,Arizona,54.3
28,New Orleans,58.8
29,Kansas City,59.3
30,NY Jets,59.5
31,Baltimore,60.0
32,Jacksonville,66.9
