Rank,Team,2020 penalty-yards-per-penalty
1,Arizona,7.7
2,Houston,7.7
3,Seattle,7.8
4,NY Giants,7.8
5,Carolina,7.9
6,Minnesota,7.9
7,Philadelphia,8.0
8,Green Bay,8.1
9,Washington,8.1
10,Cincinnati,8.1
11,Denver,8.3
12,LA Chargers,8.4
13,Pittsburgh,8.4
14,Tampa Bay,8.5
15,Chicago,8.5
16,Miami,8.6
17,San Francisco,8.6
18,New England,8.6
19,Cleveland,8.6
20,Las Vegas,8.7
21,Dallas,8.8
22,Atlanta,8.9
23,Kansas City,8.9
24,Tennessee,9.0
25,Detroit,9.1
26,Buffalo,9.1
27,Baltimore,9.2
28,LA Rams,9.3
29,NY Jets,9.4
30,Indianapolis,9.5
31,New Orleans,9.9
32,Jacksonville,10.0
