Rank,Team,2020 percent-of-games-with-an-interception-thrown
1,Green Bay,27.8%
2,Kansas City,31.6%
3,Houston,37.5%
4,Cleveland,38.9%
5,Tampa Bay,40.0%
6,Tennessee,41.2%
7,Miami,43.8%
7,New England,43.8%
9,New Orleans,44.4%
10,Buffalo,47.4%
11,Atlanta,50.0%
11,Las Vegas,50.0%
11,LA Chargers,50.0%
11,Minnesota,50.0%
15,Pittsburgh,52.9%
15,Indianapolis,52.9%
17,NY Jets,56.3%
17,Carolina,56.3%
17,NY Giants,56.3%
17,Cincinnati,56.3%
21,Washington,58.8%
21,Seattle,58.8%
23,LA Rams,61.1%
23,Baltimore,61.1%
25,Jacksonville,62.5%
26,Dallas,68.8%
26,Detroit,68.8%
26,San Francisco,68.8%
26,Arizona,68.8%
30,Chicago,70.6%
31,Denver,75.0%
31,Philadelphia,75.0%
