Rank,Team,2020 punts-blocked-per-game
1,Detroit,0.2
2,NY Jets,0.1
2,Arizona,0.1
4,Jacksonville,0.1
4,Miami,0.1
4,Houston,0.1
7,Seattle,0.1
7,Indianapolis,0.1
9,Tampa Bay,0.1
10,Dallas,0.0
10,Atlanta,0.0
10,Washington,0.0
10,Pittsburgh,0.0
10,New Orleans,0.0
10,Las Vegas,0.0
10,Chicago,0.0
10,San Francisco,0.0
10,Tennessee,0.0
10,Cleveland,0.0
10,New England,0.0
10,Kansas City,0.0
10,Denver,0.0
10,Buffalo,0.0
10,Carolina,0.0
10,LA Chargers,0.0
10,NY Giants,0.0
10,LA Rams,0.0
10,Green Bay,0.0
10,Cincinnati,0.0
10,Baltimore,0.0
10,Philadelphia,0.0
10,Minnesota,0.0
