Rank,Team,2020 punts-per-play
1,Las Vegas,0.04
2,Buffalo,0.04
3,Kansas City,0.04
4,Dallas,0.04
5,Carolina,0.05
6,Green Bay,0.05
7,Indianapolis,0.05
8,Cleveland,0.05
9,Tennessee,0.05
10,Atlanta,0.05
11,Baltimore,0.05
12,Tampa Bay,0.05
13,LA Chargers,0.05
14,Arizona,0.05
15,Minnesota,0.05
16,New England,0.06
17,New Orleans,0.06
18,Houston,0.06
19,Detroit,0.06
20,Seattle,0.06
21,San Francisco,0.06
22,Denver,0.06
23,Chicago,0.07
24,Jacksonville,0.07
25,LA Rams,0.07
26,Miami,0.07
27,Cincinnati,0.07
28,NY Giants,0.07
29,Philadelphia,0.07
30,Washington,0.07
31,Pittsburgh,0.07
32,NY Jets,0.09
