Rank,Team,2020 red-zone-scoring-pct
1,Green Bay,76.81%
2,Tennessee,74.24%
3,Seattle,73.68%
4,Cleveland,73.33%
5,New Orleans,71.62%
6,Minnesota,71.19%
7,San Francisco,67.27%
8,Pittsburgh,66.07%
9,Detroit,66.04%
10,Arizona,65.52%
11,Tampa Bay,64.56%
12,Buffalo,61.04%
13,Philadelphia,60.87%
14,Jacksonville,60.00%
15,Baltimore,59.09%
16,Kansas City,58.90%
17,Washington,58.82%
18,Miami,58.33%
19,LA Rams,57.81%
20,LA Chargers,57.14%
21,Indianapolis,56.92%
22,Chicago,56.14%
23,Las Vegas,54.24%
24,New England,54.17%
25,Houston,54.00%
26,Atlanta,53.45%
27,Denver,53.33%
28,Carolina,50.88%
29,Dallas,50.00%
29,Cincinnati,50.00%
31,NY Giants,46.34%
32,NY Jets,42.11%
