Rank,Team,2020 rushing-attempts-per-game
1,Baltimore,34.6
2,Tennessee,31.9
3,New England,31.4
4,New Orleans,30.8
5,Cleveland,30.4
6,Arizona,29.9
7,LA Rams,29.7
8,Minnesota,29.3
9,LA Chargers,29.1
10,Indianapolis,28.8
11,Las Vegas,28.6
12,Denver,27.6
13,Green Bay,27.5
14,San Francisco,27.3
15,Dallas,26.9
16,Miami,26.8
17,Cincinnati,25.7
18,Seattle,25.6
19,Atlanta,25.6
20,Carolina,25.4
21,NY Jets,25.4
22,Philadelphia,25.2
23,NY Giants,24.9
24,Washington,24.9
25,Kansas City,24.7
26,Buffalo,24.5
27,Tampa Bay,24.5
28,Chicago,24.2
29,Detroit,22.9
30,Pittsburgh,22.9
31,Houston,21.5
32,Jacksonville,21.1
