Rank,Team,2020 rushing-play-pct
1,Baltimore,55.04%
2,New England,51.28%
3,Tennessee,50.28%
4,Cleveland,47.78%
5,New Orleans,46.95%
6,Minnesota,45.75%
7,LA Rams,44.25%
8,Arizona,44.23%
9,Indianapolis,44.13%
10,Las Vegas,44.11%
11,Green Bay,43.77%
12,Denver,42.91%
13,NY Jets,42.83%
14,Miami,41.92%
15,San Francisco,41.78%
16,LA Chargers,41.35%
17,NY Giants,41.30%
18,Carolina,40.99%
19,Seattle,40.41%
20,Cincinnati,39.52%
21,Dallas,38.63%
22,Buffalo,38.29%
23,Tampa Bay,38.22%
24,Atlanta,37.94%
25,Philadelphia,37.80%
26,Washington,37.77%
27,Chicago,37.73%
28,Kansas City,37.43%
29,Detroit,37.03%
30,Houston,36.60%
31,Pittsburgh,34.52%
32,Jacksonville,33.80%
