Rank,Team,2020 rushing-yards-pct
1,Baltimore,52.77%
2,New England,44.81%
3,Tennessee,41.83%
4,Cleveland,39.53%
5,Philadelphia,37.86%
6,NY Jets,37.58%
7,New Orleans,37.18%
8,NY Giants,36.88%
9,Arizona,36.36%
10,Minnesota,36.28%
11,Denver,35.72%
12,LA Rams,34.47%
13,Seattle,34.04%
14,Green Bay,33.47%
15,Indianapolis,33.11%
16,Cincinnati,32.60%
17,San Francisco,31.90%
18,Las Vegas,31.24%
19,Washington,31.13%
20,Miami,31.12%
21,Chicago,30.59%
22,Carolina,30.47%
23,Dallas,30.06%
24,LA Chargers,29.18%
25,Jacksonville,29.11%
26,Kansas City,27.20%
27,Buffalo,27.04%
28,Detroit,26.75%
29,Tampa Bay,26.23%
30,Atlanta,25.99%
31,Houston,24.42%
32,Pittsburgh,23.75%
