Rank,Team,2020 sacks-per-game
1,Pittsburgh,3.3
2,LA Rams,3.2
3,Philadelphia,3.1
4,Arizona,3.0
5,Washington,2.9
6,Tampa Bay,2.9
7,Seattle,2.9
8,Denver,2.6
9,New Orleans,2.6
10,Miami,2.6
11,Green Bay,2.6
12,NY Giants,2.5
13,Indianapolis,2.5
14,Baltimore,2.3
15,Buffalo,2.3
16,Cleveland,2.2
17,Houston,2.1
18,Chicago,2.1
19,Kansas City,2.0
20,Dallas,1.9
20,NY Jets,1.9
22,San Francisco,1.9
23,Atlanta,1.8
23,Carolina,1.8
25,LA Chargers,1.7
26,Detroit,1.5
26,New England,1.5
28,Minnesota,1.4
29,Tennessee,1.4
30,Las Vegas,1.3
31,Jacksonville,1.1
32,Cincinnati,1.1
