Rank,Team,2020 safeties-per-game
1,Dallas,0.0
1,Atlanta,0.0
1,Las Vegas,0.0
1,Jacksonville,0.0
1,San Francisco,0.0
1,Miami,0.0
1,Tennessee,0.0
1,Houston,0.0
1,New England,0.0
1,Denver,0.0
1,Buffalo,0.0
1,Carolina,0.0
1,NY Giants,0.0
1,Cincinnati,0.0
15,Tampa Bay,0.1
16,Kansas City,0.1
17,New Orleans,0.1
17,LA Rams,0.1
17,Green Bay,0.1
20,Washington,0.1
20,Pittsburgh,0.1
20,Chicago,0.1
23,Detroit,0.1
23,NY Jets,0.1
23,Arizona,0.1
23,LA Chargers,0.1
23,Philadelphia,0.1
23,Minnesota,0.1
29,Cleveland,0.1
29,Baltimore,0.1
31,Seattle,0.2
31,Indianapolis,0.2
