Rank,Team,2020 seconds-per-play
1,Dallas,24.5
2,Arizona,25.8
3,Philadelphia,26.4
4,Jacksonville,26.8
5,Tennessee,27.0
6,Denver,27.0
7,Detroit,27.0
8,Washington,27.2
9,LA Chargers,27.2
10,Tampa Bay,27.2
11,Atlanta,27.3
12,Kansas City,27.7
13,Houston,27.9
14,Chicago,27.9
15,Pittsburgh,28.0
16,Minnesota,28.2
17,NY Jets,28.3
18,Seattle,28.3
19,LA Rams,28.3
20,New England,28.4
21,NY Giants,28.5
22,Cincinnati,28.8
23,Las Vegas,28.8
24,San Francisco,28.8
25,Indianapolis,28.8
26,Cleveland,28.8
27,Buffalo,28.9
28,Miami,29.4
29,New Orleans,29.6
30,Carolina,30.0
31,Baltimore,30.4
32,Green Bay,31.4
