Rank,Team,2020 takeaways-per-game
1,Miami,1.8
2,Tampa Bay,1.7
3,Pittsburgh,1.6
4,Cleveland,1.5
5,Buffalo,1.5
6,Indianapolis,1.5
7,New Orleans,1.4
8,Dallas,1.4
9,Washington,1.4
9,Tennessee,1.4
11,New England,1.4
11,Carolina,1.4
11,NY Giants,1.4
11,Minnesota,1.4
15,LA Rams,1.3
16,Kansas City,1.3
17,Atlanta,1.3
17,Arizona,1.3
19,Seattle,1.3
20,Baltimore,1.3
21,San Francisco,1.3
22,NY Jets,1.2
22,LA Chargers,1.2
22,Philadelphia,1.2
25,Green Bay,1.2
26,Chicago,1.1
27,Jacksonville,1.1
27,Cincinnati,1.1
29,Denver,1.0
30,Las Vegas,0.9
31,Detroit,0.8
32,Houston,0.6
