Rank,Team,2020 two-point-conversions-per-game
1,Minnesota,0.5
2,Philadelphia,0.4
3,Dallas,0.3
3,Miami,0.3
5,Tennessee,0.2
5,Indianapolis,0.2
7,Jacksonville,0.2
8,Pittsburgh,0.2
9,Kansas City,0.2
10,Detroit,0.1
10,Denver,0.1
10,LA Chargers,0.1
10,NY Giants,0.1
14,Chicago,0.1
15,LA Rams,0.1
15,Green Bay,0.1
15,Baltimore,0.1
18,Atlanta,0.1
18,Las Vegas,0.1
18,NY Jets,0.1
18,Houston,0.1
18,New England,0.1
18,Carolina,0.1
24,Washington,0.1
24,Seattle,0.1
26,Cleveland,0.1
27,New Orleans,0.0
27,San Francisco,0.0
27,Tampa Bay,0.0
27,Arizona,0.0
27,Buffalo,0.0
27,Cincinnati,0.0
