Rank,Team,2020 yards-per-point-margin
1,Miami,4.0
2,Baltimore,3.8
3,Seattle,3.1
4,Tampa Bay,2.9
5,Buffalo,2.8
6,New Orleans,1.9
7,Tennessee,1.8
8,Green Bay,1.7
9,Pittsburgh,1.6
10,Kansas City,1.0
11,Indianapolis,1.0
12,Chicago,0.6
13,Atlanta,0.5
14,Arizona,0.3
15,Cleveland,0.1
16,New England,0.0
17,Washington,-0.3
18,LA Rams,-0.6
19,Las Vegas,-1.1
20,Houston,-1.3
21,Minnesota,-1.4
22,NY Giants,-1.5
23,Carolina,-1.6
24,Cincinnati,-1.8
25,Detroit,-1.9
26,Dallas,-2.0
27,Philadelphia,-2.1
28,San Francisco,-2.9
29,LA Chargers,-3.0
30,Denver,-3.4
31,Jacksonville,-3.5
32,NY Jets,-4.9
