Rank,Team,2021 1st-half-points-per-game
1,Dallas,15.7
2,Kansas City,15.5
3,Tampa Bay,14.8
4,Buffalo,14.0
4,LA Chargers,14.0
6,Indianapolis,13.8
7,LA Rams,13.3
8,Tennessee,13.0
9,Seattle,12.9
10,Green Bay,12.8
11,Arizona,12.7
12,Cincinnati,12.5
13,New England,12.4
14,Cleveland,11.8
14,Minnesota,11.8
16,San Francisco,11.7
17,Atlanta,10.9
18,Philadelphia,10.7
19,Carolina,10.7
20,Washington,10.1
21,Baltimore,10.0
22,Las Vegas,9.8
23,Chicago,9.6
24,Miami,9.5
25,Denver,9.4
26,Houston,9.4
27,New Orleans,9.2
28,Detroit,8.6
29,NY Jets,8.4
30,Jacksonville,7.6
31,Pittsburgh,6.7
32,NY Giants,5.9
