Rank,Team,2021 1st-quarter-points-per-game
1,Dallas,7.2
2,Kansas City,7.2
3,Tampa Bay,6.5
4,Buffalo,6.5
5,Indianapolis,6.3
6,Arizona,5.9
7,Carolina,5.6
8,Miami,5.5
9,Minnesota,5.1
10,Philadelphia,4.9
11,Seattle,4.8
12,LA Chargers,4.8
13,San Francisco,4.5
14,New England,4.3
15,Cincinnati,4.2
16,LA Rams,4.1
17,Cleveland,4.0
18,Las Vegas,3.8
19,Houston,3.5
20,NY Jets,3.5
21,Washington,3.4
22,Tennessee,3.4
23,Green Bay,3.2
24,Atlanta,3.2
24,Denver,3.2
26,Baltimore,3.0
27,Jacksonville,2.8
28,Chicago,2.8
29,New Orleans,2.4
29,Detroit,2.4
31,NY Giants,2.1
32,Pittsburgh,2.1
