Rank,Team,2021 1st-quarter-time-of-possession-share-pct
1,Dallas,58.03%
2,Carolina,55.76%
3,Tennessee,54.40%
4,Baltimore,54.13%
5,Green Bay,53.20%
6,Miami,52.79%
7,Buffalo,52.54%
8,Kansas City,52.38%
9,Cleveland,52.30%
10,LA Rams,52.15%
11,Denver,51.76%
12,Chicago,51.47%
13,New Orleans,51.01%
14,Las Vegas,50.40%
15,Atlanta,50.35%
16,Cincinnati,50.30%
17,Houston,49.86%
18,San Francisco,49.83%
19,Minnesota,49.75%
20,Washington,49.71%
21,NY Giants,49.46%
22,Tampa Bay,49.45%
23,Pittsburgh,49.07%
24,Detroit,48.29%
25,New England,48.19%
26,Philadelphia,47.37%
27,Indianapolis,47.37%
28,LA Chargers,45.53%
29,Arizona,45.02%
30,Jacksonville,43.45%
31,Seattle,42.63%
32,NY Jets,40.52%
