Rank,Team,2021 2nd-quarter-time-of-possession-share-pct
1,Green Bay,57.88%
2,Baltimore,56.39%
3,Indianapolis,55.68%
4,LA Rams,54.05%
5,Tennessee,53.57%
6,LA Chargers,52.47%
7,New Orleans,52.45%
8,Arizona,52.13%
9,Buffalo,51.81%
10,Chicago,51.78%
11,Dallas,51.17%
12,Washington,51.16%
13,Cleveland,51.04%
14,Carolina,50.76%
15,Miami,50.54%
16,Philadelphia,50.26%
17,NY Jets,50.12%
18,Tampa Bay,49.20%
19,Detroit,49.09%
20,New England,48.81%
21,Houston,48.67%
22,Jacksonville,48.66%
23,Pittsburgh,48.44%
24,Denver,48.35%
25,Cincinnati,47.85%
26,San Francisco,47.81%
27,Atlanta,47.44%
28,Kansas City,47.38%
29,Minnesota,46.47%
30,Las Vegas,46.01%
31,NY Giants,43.03%
32,Seattle,39.31%
